Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
F. Surman,Wellington Phoenix,ZAGUEIRO,AUS,-1.34,-0.9,-1.24,13.0,29.0,29.0
S. Wootton,Wellington Phoenix,ZAGUEIRO,AUS,-0.08,-3.28,0.01,48.0,3.0,58.0
Roderick Miranda,Melbourne Victory,ZAGUEIRO,AUS,0.05,-1.35,1.19,55.0,16.0,77.0
B. Kaltak,Central Coast Mariners,ZAGUEIRO,AUS,1.92,0.31,0.62,100.0,58.0,68.0
D. Da Silva,Melbourne Victory,ZAGUEIRO,AUS,-0.46,-0.87,-0.2,32.0,35.0,55.0
Matheus Lins,Austria Lustenau,ZAGUEIRO,AUT,-0.53,3.46,0.17,29.0,100.0,58.0
S. Haudum,Blau-Weiß Linz,ZAGUEIRO,AUT,-1.66,-1.49,-1.31,7.0,7.0,22.0
M. Steinwender,Hartberg,ZAGUEIRO,AUT,-1.13,-0.16,-0.59,16.0,56.0,44.0
D. Mitrović,Blau-Weiß Linz,ZAGUEIRO,AUT,-0.13,-0.72,-1.85,56.0,33.0,11.0
D. Stumberger,WSG Swarovski Tirol,ZAGUEIRO,AUT,-0.68,-0.83,-1.94,24.0,29.0,7.0
L. Mätzler,Austria Lustenau,ZAGUEIRO,AUT,-1.81,0.7,-2.02,4.0,73.0,4.0
A. Pašić,Blau-Weiß Linz,ZAGUEIRO,AUT,0.98,0.89,-1.28,87.0,82.0,24.0
F. Luckeneder,LASK ,ZAGUEIRO,AUT,0.59,-0.27,0.28,80.0,51.0,67.0
T. Plavotić,Austria Wien,ZAGUEIRO,AUT,-0.5,-1.06,-1.17,31.0,20.0,33.0
M. Hofmann,Rapid Wien,ZAGUEIRO,AUT,-0.48,-0.86,-1.28,33.0,27.0,27.0
K. Boateng,Austria Lustenau,ZAGUEIRO,AUT,0.08,0.88,-2.76,62.0,80.0,2.0
S. Kennedy,Wolfsberger AC,ZAGUEIRO,AUT,-0.16,-0.26,-1.31,53.0,53.0,20.0
S. Baidoo,Salzburg,ZAGUEIRO,AUT,-0.45,-1.27,0.18,38.0,11.0,60.0
M. Maak,Austria Lustenau,ZAGUEIRO,AUT,-0.73,0.8,-1.88,20.0,78.0,9.0
K. Gkezos,Austria Klagenfurt,ZAGUEIRO,AUT,0.57,3.29,2.09,78.0,98.0,89.0
M. Talovierov,LASK ,ZAGUEIRO,AUT,0.28,0.26,-1.82,64.0,64.0,13.0
M. Meisl,Austria Wien,ZAGUEIRO,AUT,-0.19,-1.05,-0.69,49.0,22.0,38.0
E. Omić,Wolfsberger AC,ZAGUEIRO,AUT,-0.69,-2.23,-0.6,22.0,2.0,42.0
O. Solet,Salzburg,ZAGUEIRO,AUT,3.21,1.6,5.97,98.0,87.0,100.0
C. Reiner,Rheindorf Altach,ZAGUEIRO,AUT,0.03,-1.49,-1.76,60.0,9.0,16.0
S. Piesinger,Wolfsberger AC,ZAGUEIRO,AUT,1.04,-0.64,0.49,89.0,40.0,71.0
D. Gugganig,WSG Swarovski Tirol,ZAGUEIRO,AUT,-1.4,-0.98,0.84,13.0,24.0,78.0
D. Lavalée,Sturm Graz,ZAGUEIRO,AUT,0.54,0.73,-0.38,76.0,76.0,49.0
O. Okungbowa,WSG Swarovski Tirol,ZAGUEIRO,AUT,0.32,0.44,-1.65,67.0,67.0,18.0
M. Martins,Austria Wien,ZAGUEIRO,AUT,-0.12,-0.7,-1.22,58.0,36.0,31.0
Lucas Galvão,Austria Wien,ZAGUEIRO,AUT,0.35,-0.33,1.19,71.0,47.0,82.0
D. Grujčić,Austria Lustenau,ZAGUEIRO,AUT,-0.6,0.23,0.21,27.0,62.0,62.0
L. Gugganig,Rheindorf Altach,ZAGUEIRO,AUT,-0.9,-0.68,0.96,18.0,38.0,80.0
F. Strauß,Blau-Weiß Linz,ZAGUEIRO,AUT,-0.44,1.7,-0.24,40.0,89.0,51.0
D. Affengruber,Sturm Graz,ZAGUEIRO,AUT,-0.27,-1.22,1.34,47.0,13.0,84.0
S. Pavlović,Salzburg,ZAGUEIRO,AUT,3.75,1.73,1.48,100.0,91.0,87.0
L. Querfeld,Rapid Wien,ZAGUEIRO,AUT,0.34,-0.01,0.25,69.0,60.0,64.0
I. Bowat,Hartberg,ZAGUEIRO,AUT,0.84,-0.74,-0.69,84.0,31.0,40.0
J. Handl,Austria Wien,ZAGUEIRO,AUT,1.74,1.32,3.52,93.0,84.0,98.0
F. Bacher,WSG Swarovski Tirol,ZAGUEIRO,AUT,2.47,1.93,3.07,96.0,96.0,93.0
G. Wüthrich,Sturm Graz,ZAGUEIRO,AUT,-1.53,-1.21,-0.4,11.0,16.0,47.0
P. Ziereis,LASK ,ZAGUEIRO,AUT,-0.28,0.61,-0.14,44.0,71.0,53.0
A. Andrade,LASK ,ZAGUEIRO,AUT,1.26,1.78,3.29,91.0,93.0,96.0
J. Scherzer,Wolfsberger AC,ZAGUEIRO,AUT,0.82,-0.57,0.29,82.0,42.0,69.0
P. Koller,Rheindorf Altach,ZAGUEIRO,AUT,-2.34,-2.07,-0.11,2.0,4.0,56.0
P. Komposch,Hartberg,ZAGUEIRO,AUT,-0.44,-0.44,0.67,42.0,44.0,76.0
M. Maranda,Blau-Weiß Linz,ZAGUEIRO,AUT,-1.62,-1.18,-0.73,9.0,18.0,36.0
N. Wimmer,Austria Klagenfurt,ZAGUEIRO,AUT,0.52,0.45,2.26,73.0,69.0,91.0
T. Mahrer,Austria Klagenfurt,ZAGUEIRO,AUT,-0.19,-0.03,-1.26,51.0,58.0,29.0
D. Baumgartner,Wolfsberger AC,ZAGUEIRO,AUT,-0.45,-0.29,0.5,36.0,49.0,73.0
S. Doumbia,Standard Liège,ZAGUEIRO,BEL1,1.66,-0.17,-0.3,95.0,45.0,47.0
S. Knežević,Charleroi,ZAGUEIRO,BEL1,1.29,1.08,0.85,89.0,84.0,70.0
W. Janssens,Sint-Truiden,ZAGUEIRO,BEL1,0.57,0.14,-1.21,72.0,58.0,23.0
H. Fujii,Kortrijk,ZAGUEIRO,BEL1,-0.2,-0.86,0.1,44.0,23.0,55.0
F. Russo,OH Leuven,ZAGUEIRO,BEL1,-1.05,0.75,-1.34,16.0,77.0,20.0
F. Le Joncour,Elversberg,ZAGUEIRO,BEL1,0.68,0.43,0.01,75.0,67.0,50.0
J. Heris,RWD Molenbeek,ZAGUEIRO,BEL1,-1.97,0.68,-1.11,3.0,72.0,25.0
C. Makosso,RWD Molenbeek,ZAGUEIRO,BEL1,-0.03,1.92,-2.03,48.0,94.0,11.0
J. Král,Eupen,ZAGUEIRO,BEL1,1.26,1.65,1.08,88.0,89.0,77.0
A. Radovanović,Almería,ZAGUEIRO,BEL1,-0.53,1.93,-2.27,33.0,95.0,5.0
M. Sissako,RWD Molenbeek,ZAGUEIRO,BEL1,-0.52,1.16,-2.04,34.0,86.0,9.0
S. Mitrović,Gent,ZAGUEIRO,BEL1,-0.19,-1.29,-0.84,45.0,14.0,33.0
L. Segovia,Botafogo,ZAGUEIRO,BEL1,-1.4,0.4,1.81,9.0,66.0,89.0
David Sousa,RWD Molenbeek,ZAGUEIRO,BEL1,1.1,1.99,0.9,84.0,97.0,72.0
N. Ngoy,Standard Liège,ZAGUEIRO,BEL1,-1.09,-0.92,0.3,14.0,20.0,56.0
Klaus,RWD Molenbeek,ZAGUEIRO,BEL1,-0.54,0.81,-2.9,31.0,80.0,2.0
J. Ordóñez,Club Brugge,ZAGUEIRO,BEL1,-1.4,-1.94,-1.88,11.0,5.0,16.0
M. Garan'anga,Mechelen,ZAGUEIRO,BEL1,0.05,0.25,-0.43,52.0,61.0,45.0
A. Filin,Eupen,ZAGUEIRO,BEL1,0.36,0.68,1.33,66.0,73.0,83.0
D. Marcq,Charleroi,ZAGUEIRO,BEL1,1.45,1.92,-0.56,94.0,92.0,44.0
M. Bokadi,Standard Liège,ZAGUEIRO,BEL1,0.15,0.02,-0.72,55.0,55.0,39.0
S. Coulibaly,Antwerp,ZAGUEIRO,BEL1,2.45,0.71,0.37,98.0,75.0,58.0
M. Kana,Kortrijk,ZAGUEIRO,BEL1,-0.97,0.44,0.46,20.0,69.0,61.0
J. Vanlerberghe,Brøndby,ZAGUEIRO,BEL1,2.54,1.91,2.45,100.0,91.0,95.0
J. Bager,Charleroi,ZAGUEIRO,BEL1,0.15,1.02,-0.2,56.0,81.0,48.0
R. Tagir,Westerlo,ZAGUEIRO,BEL1,-0.67,-1.44,0.6,25.0,12.0,66.0
Z. Vanheusden,Standard Liège,ZAGUEIRO,BEL1,-0.93,-0.14,2.28,22.0,47.0,94.0
R. Sykes,Union Saint-Gilloise,ZAGUEIRO,BEL1,-0.29,0.39,0.06,41.0,64.0,52.0
L. Noubi,Standard Liège,ZAGUEIRO,BEL1,-1.7,-0.57,1.32,8.0,36.0,81.0
F. Ricca,OH Leuven,ZAGUEIRO,BEL1,0.48,-0.36,0.6,70.0,41.0,67.0
E. Bayram,Westerlo,ZAGUEIRO,BEL1,1.81,3.17,0.41,97.0,100.0,59.0
C. Ravych,Cercle Brugge,ZAGUEIRO,BEL1,-1.96,0.21,-0.79,5.0,59.0,36.0
J. Spileers,Club Brugge,ZAGUEIRO,BEL1,0.21,-2.4,0.95,61.0,2.0,75.0
M. Mampassi,Kortrijk,ZAGUEIRO,BEL1,-2.43,-0.12,-0.92,2.0,48.0,31.0
Mujaid Sadick,Genk,ZAGUEIRO,BEL1,1.01,0.1,-1.93,81.0,56.0,14.0
Z. Van den Bosch,Antwerp,ZAGUEIRO,BEL1,0.57,-0.51,3.34,73.0,38.0,98.0
K. Laifis,Standard Liège,ZAGUEIRO,BEL1,-0.57,-1.51,-0.66,30.0,11.0,42.0
R. Paeshuyse,Eupen,ZAGUEIRO,BEL1,-0.85,-0.73,-2.1,23.0,28.0,8.0
J. Davidson,Eupen,ZAGUEIRO,BEL1,0.42,1.23,0.75,67.0,88.0,69.0
K. Mac Allister,Union Saint-Gilloise,ZAGUEIRO,BEL1,0.18,2.22,-0.71,59.0,98.0,41.0
B. Popović,Cercle Brugge,ZAGUEIRO,BEL1,1.31,-0.11,-1.07,91.0,50.0,27.0
E. Cobbaut,Mechelen,ZAGUEIRO,BEL1,0.48,-1.14,1.75,69.0,17.0,86.0
R. Neustädter,Westerlo,ZAGUEIRO,BEL1,-0.24,-0.97,-1.02,42.0,19.0,28.0
J. Torunarigha,Gent,ZAGUEIRO,BEL1,-0.61,-0.7,3.31,27.0,30.0,97.0
I. Kandouss,Gent,ZAGUEIRO,BEL1,-0.47,-0.82,1.88,36.0,27.0,92.0
K. Machida,Union Saint-Gilloise,ZAGUEIRO,BEL1,-0.58,-0.89,1.23,28.0,22.0,80.0
D. Bates,Mechelen,ZAGUEIRO,BEL1,1.06,0.58,-1.94,83.0,70.0,12.0
J. Schingtienne,OH Leuven,ZAGUEIRO,BEL1,-0.31,-0.04,-2.8,39.0,53.0,3.0
S. Andreou,Charleroi,ZAGUEIRO,BEL1,1.25,1.07,-1.86,86.0,83.0,17.0
M. McKenzie,Genk,ZAGUEIRO,BEL1,-1.36,-1.27,0.57,12.0,16.0,64.0
E. Pletinckx,OH Leuven,ZAGUEIRO,BEL1,0.26,-0.43,-2.13,62.0,39.0,6.0
R. Van Helden,Sint-Truiden,ZAGUEIRO,BEL1,0.84,-0.27,0.91,78.0,44.0,73.0
J. Vertonghen,Anderlecht,ZAGUEIRO,BEL1,0.17,-1.71,1.35,58.0,8.0,84.0
C. Cuesta,Genk,ZAGUEIRO,BEL1,-1.02,-2.02,-0.83,19.0,3.0,34.0
João Silva,Kortrijk,ZAGUEIRO,BEL1,-0.18,0.78,-1.84,47.0,78.0,19.0
T. Watanabe,Gent,ZAGUEIRO,BEL1,-0.43,-0.65,-0.72,38.0,34.0,38.0
V. Pálsson,Eupen,ZAGUEIRO,BEL1,-1.72,-1.54,0.07,6.0,9.0,53.0
B. Godeau,Sint-Truiden,ZAGUEIRO,BEL1,0.3,-0.69,1.83,64.0,31.0,91.0
Z. Debast,Anderlecht,ZAGUEIRO,BEL1,0.93,-0.66,1.8,80.0,33.0,88.0
C. Burgess,Union Saint-Gilloise,ZAGUEIRO,BEL1,1.37,0.37,-1.31,92.0,62.0,22.0
J. Daland,Cercle Brugge,ZAGUEIRO,BEL1,0.02,-0.09,1.19,50.0,52.0,78.0
M. Smets,Sint-Truiden,ZAGUEIRO,BEL1,0.77,-0.32,-0.98,77.0,42.0,30.0
T. Alderweireld,Antwerp,ZAGUEIRO,BEL1,-1.04,-1.91,5.03,17.0,6.0,100.0
B. Mechele,Club Brugge,ZAGUEIRO,BEL1,0.12,-0.84,0.48,53.0,25.0,62.0
L. Noubi,Standard Liège,ZAGUEIRO,BEL2,1.73,3.17,0.69,96.0,100.0,65.0
T. Basila,Oostende,ZAGUEIRO,BEL2,-0.85,-0.4,-0.6,17.0,35.0,33.0
F. Cissé,Standard Liège II,ZAGUEIRO,BEL2,0.09,0.54,1.06,50.0,71.0,79.0
N. Solheid,RFC Seraing,ZAGUEIRO,BEL2,-0.7,0.24,-1.47,23.0,58.0,23.0
I. Alhassan,Beerschot-Wilrijk,ZAGUEIRO,BEL2,0.54,-0.75,-0.54,77.0,27.0,35.0
L. Lemoine,Deinze,ZAGUEIRO,BEL2,0.17,0.5,-0.72,58.0,69.0,31.0
A. Nkaka,Lierse Kempenzonen,ZAGUEIRO,BEL2,0.5,0.46,-1.28,71.0,67.0,27.0
W. Simba,Club Brugge II,ZAGUEIRO,BEL2,1.53,1.57,-2.54,94.0,92.0,6.0
N. Engwanda,Anderlecht II,ZAGUEIRO,BEL2,1.06,-0.53,-0.47,88.0,31.0,40.0
B. Kader Yameogo,Club Brugge U19,ZAGUEIRO,BEL2,1.85,0.05,0.8,100.0,50.0,73.0
Y. Amankwah,Lommel SK,ZAGUEIRO,BEL2,1.81,-0.48,-0.12,98.0,33.0,48.0
L. Marijnissen,Lierse Kempenzonen,ZAGUEIRO,BEL2,1.37,2.39,-1.23,90.0,98.0,29.0
K. Vandendriessche,Francs Borains,ZAGUEIRO,BEL2,0.12,0.79,1.12,52.0,75.0,81.0
M. Decoene,Oostende,ZAGUEIRO,BEL2,-1.76,-1.43,-1.72,4.0,12.0,19.0
J. Tolinsson,Lommel SK,ZAGUEIRO,BEL2,0.83,-1.81,-0.51,85.0,8.0,38.0
B. Manguelle,Genk II,ZAGUEIRO,BEL2,-0.27,-1.33,-0.36,38.0,15.0,44.0
D. Ragolle,Dender,ZAGUEIRO,BEL2,-0.49,0.02,0.45,31.0,48.0,62.0
S. Obissa,Francs Borains,ZAGUEIRO,BEL2,-0.81,0.15,0.25,21.0,52.0,56.0
J. Gillekens,Francs Borains,ZAGUEIRO,BEL2,-0.32,1.28,0.28,35.0,88.0,58.0
M. Tambedou,Zulte-Waregem,ZAGUEIRO,BEL2,-0.65,-0.87,-1.81,27.0,23.0,12.0
G. Ruyssen,Dender,ZAGUEIRO,BEL2,-0.17,0.4,1.91,44.0,65.0,92.0
I. Baouf,Anderlecht II,ZAGUEIRO,BEL2,0.78,-0.19,1.59,83.0,40.0,88.0
M. Tshibuabua,RFC Seraing,ZAGUEIRO,BEL2,0.57,0.82,0.81,81.0,77.0,75.0
F. Al Mazyani,Genk II,ZAGUEIRO,BEL2,0.3,0.94,3.67,62.0,81.0,98.0
D. Prychynenko,Deinze,ZAGUEIRO,BEL2,-0.08,-0.18,1.27,46.0,42.0,83.0
J. Filipović,SK Beveren,ZAGUEIRO,BEL2,0.17,0.79,-2.63,56.0,73.0,4.0
Z. Medley,Oostende,ZAGUEIRO,BEL2,-0.37,-0.26,-0.28,33.0,38.0,46.0
D. Dierckx,Standard Liège II,ZAGUEIRO,BEL2,-0.2,1.0,-0.41,42.0,83.0,42.0
A. Lapage,Anderlecht II,ZAGUEIRO,BEL2,1.37,0.82,4.15,92.0,79.0,100.0
J. Willems,Club Brugge U19,ZAGUEIRO,BEL2,0.41,0.17,-0.08,67.0,54.0,50.0
V. Boone,Lierse Kempenzonen,ZAGUEIRO,BEL2,0.35,1.76,-1.86,65.0,94.0,10.0
L. Malungu,Francs Borains,ZAGUEIRO,BEL2,-0.83,0.19,-1.78,19.0,56.0,15.0
J. Kongolo,Genk II,ZAGUEIRO,BEL2,0.5,0.37,-1.39,73.0,60.0,25.0
K. Cools,Dender,ZAGUEIRO,BEL2,0.55,1.12,-1.48,79.0,85.0,21.0
B. Lambot,Liège,ZAGUEIRO,BEL2,0.13,-0.07,0.82,54.0,44.0,77.0
D. Tshimanga,Beerschot-Wilrijk,ZAGUEIRO,BEL2,-0.93,-1.32,0.2,15.0,17.0,52.0
J. Bustin,Liège,ZAGUEIRO,BEL2,-0.21,0.39,0.21,40.0,62.0,54.0
S. Bateau,SK Beveren,ZAGUEIRO,BEL2,-0.58,-1.68,0.79,29.0,10.0,69.0
H. Matthys,Beerschot-Wilrijk,ZAGUEIRO,BEL2,-1.59,-3.65,2.85,8.0,2.0,96.0
W. Corstjens,Patro Eisden,ZAGUEIRO,BEL2,-2.28,-2.26,-3.42,2.0,6.0,2.0
A. Et Taïbi,Club Brugge II,ZAGUEIRO,BEL2,0.25,-0.71,0.42,60.0,29.0,60.0
J. Pupe,Dender,ZAGUEIRO,BEL2,0.54,2.38,2.11,75.0,96.0,94.0
A. Konstantopoulos,Beerschot-Wilrijk,ZAGUEIRO,BEL2,-0.04,-0.02,1.49,48.0,46.0,85.0
A. Tanghe,Zulte-Waregem,ZAGUEIRO,BEL2,-0.66,-0.87,0.8,25.0,21.0,71.0
D. Wouters,Lommel SK,ZAGUEIRO,BEL2,-1.74,-3.29,0.73,6.0,4.0,67.0
L. Willen,Zulte-Waregem,ZAGUEIRO,BEL2,0.43,1.55,1.89,69.0,90.0,90.0
J. Renson,Patro Eisden,ZAGUEIRO,BEL2,-1.0,-0.85,-1.74,12.0,25.0,17.0
K. Schuermans,Deinze,ZAGUEIRO,BEL2,-1.41,-0.9,-1.96,10.0,19.0,8.0
M. Ortiz,Nacional Potosí,ZAGUEIRO,BOL,-1.98,1.58,0.18,7.0,91.0,52.0
H. Silva,Al Quwa Al Jawiya,ZAGUEIRO,BOL,0.44,0.21,-1.08,64.0,52.0,26.0
L. Demiquel,The Strongest,ZAGUEIRO,BOL,-2.96,-0.55,-1.99,2.0,28.0,14.0
E. Restrepo,Nacional Potosí,ZAGUEIRO,BOL,-1.57,0.64,-1.3,10.0,64.0,22.0
R. Orihuela,Bolívar,ZAGUEIRO,BOL,2.2,0.92,4.52,98.0,76.0,100.0
S. Arce,Guabirá,ZAGUEIRO,BOL,1.55,0.71,-1.01,91.0,66.0,28.0
E. Velasquez,The Strongest,ZAGUEIRO,BOL,-0.58,0.91,-2.05,29.0,74.0,12.0
P. Pedraza,Al Quwa Al Jawiya,ZAGUEIRO,BOL,0.12,-0.97,0.45,57.0,21.0,60.0
M. Galain,Nacional Potosí,ZAGUEIRO,BOL,0.86,-1.52,1.02,83.0,14.0,78.0
B. Bentaberry,Bolívar,ZAGUEIRO,BOL,0.05,-0.35,1.21,52.0,34.0,86.0
G. Castillo,Wilstermann,ZAGUEIRO,BOL,-0.72,-1.88,0.64,24.0,10.0,67.0
P. Meza,San Antonio Bulo Bulo,ZAGUEIRO,BOL,0.44,-0.15,0.62,62.0,43.0,66.0
R. Coronel,Resistencia,ZAGUEIRO,BOL,1.67,1.39,-0.29,93.0,88.0,41.0
M. Cuellar,Gualberto Villarroel SJ,ZAGUEIRO,BOL,-0.22,0.42,0.89,38.0,59.0,72.0
E. Álvarez,Royal Pari,ZAGUEIRO,BOL,-0.11,-0.45,-1.11,48.0,31.0,24.0
N. Ferreyra,Unión La Calera,ZAGUEIRO,BOL,1.46,0.37,-1.86,90.0,55.0,16.0
D. Paredes,Vaca Díez,ZAGUEIRO,BOL,1.07,0.73,0.81,84.0,67.0,71.0
J. Quinteros,Bolívar,ZAGUEIRO,BOL,0.53,-3.18,-0.54,67.0,3.0,38.0
Mizael Monteiro,Boavista,ZAGUEIRO,BOL,0.34,0.98,-1.81,60.0,78.0,17.0
S. Álvarez,Oriente Petrolero,ZAGUEIRO,BOL,-0.78,-0.35,-2.31,19.0,36.0,7.0
J. Virreira,San Antonio Bulo Bulo,ZAGUEIRO,BOL,-1.32,0.39,-2.33,14.0,57.0,5.0
P. Alcocer,Universitario de Vinto,ZAGUEIRO,BOL,-0.48,-0.12,0.98,31.0,45.0,76.0
G. Olguín,San Antonio Bulo Bulo,ZAGUEIRO,BOL,-0.66,-1.68,1.2,28.0,12.0,84.0
M. Ortiz,Nacional Potosí,ZAGUEIRO,BOL,0.71,2.25,-0.63,78.0,97.0,36.0
M. Suárez,Always Ready,ZAGUEIRO,BOL,-0.15,-3.5,2.37,43.0,2.0,95.0
L. Justiniano,Real Tomayapo,ZAGUEIRO,BOL,0.76,0.86,-0.01,81.0,72.0,50.0
S. Zaracho,Guaraní,ZAGUEIRO,BOL,2.31,0.85,1.81,100.0,71.0,90.0
Jesús Sagredo,Bolívar,ZAGUEIRO,BOL,-0.06,0.58,1.2,50.0,60.0,83.0
M. Caire,The Strongest,ZAGUEIRO,BOL,1.25,1.02,0.66,88.0,83.0,69.0
M. Chiatti,Wilstermann,ZAGUEIRO,BOL,-0.13,-0.54,-0.27,45.0,29.0,43.0
M. Ándia,Nacional Potosí,ZAGUEIRO,BOL,1.83,-0.35,2.53,95.0,33.0,97.0
W. Soleto,Independiente Petrolero,ZAGUEIRO,BOL,-0.99,-0.88,0.31,17.0,24.0,57.0
Brian López,Santa Cruz,ZAGUEIRO,BOL,0.59,1.13,-0.65,69.0,84.0,34.0
J. Velázquez,Wilstermann,ZAGUEIRO,BOL,-0.15,1.43,-2.15,41.0,90.0,10.0
M. Enoumba,The Strongest,ZAGUEIRO,BOL,0.05,-1.5,2.1,53.0,16.0,91.0
R. Montero,Guabirá,ZAGUEIRO,BOL,-0.31,0.11,-1.6,36.0,50.0,19.0
J. Rioja,Real Tomayapo,ZAGUEIRO,BOL,-1.68,-0.83,-1.35,9.0,26.0,21.0
Hallysson Padilha,Real Tomayapo,ZAGUEIRO,BOL,1.89,-0.15,0.51,97.0,41.0,62.0
W. Antelo,Santa Cruz,ZAGUEIRO,BOL,-2.04,-2.62,-0.96,5.0,9.0,29.0
Y. Quiñónes,Royal Pari,ZAGUEIRO,BOL,0.51,2.03,-0.06,66.0,95.0,48.0
S. Ibars,Independiente Petrolero,ZAGUEIRO,BOL,-0.37,2.3,-0.66,33.0,98.0,33.0
R. Gómez,Blooming,ZAGUEIRO,BOL,-0.72,0.23,-0.94,26.0,53.0,31.0
José Sagredo,Bolívar,ZAGUEIRO,BOL,0.08,-0.28,3.25,55.0,38.0,98.0
J. Mercado,Universitario de Vinto,ZAGUEIRO,BOL,0.26,0.8,0.27,59.0,69.0,53.0
C. García,Oriente Petrolero,ZAGUEIRO,BOL,-0.72,1.87,1.15,22.0,93.0,81.0
L. Ruano,Santa Cruz,ZAGUEIRO,BOL,-0.21,2.47,-2.62,40.0,100.0,3.0
L. Zazpe,Guabirá,ZAGUEIRO,BOL,-0.11,0.6,0.61,47.0,62.0,64.0
J. Lacerda,Blooming,ZAGUEIRO,BOL,-1.5,-2.75,1.05,12.0,7.0,79.0
N. Amarilla,Aurora,ZAGUEIRO,BOL,0.69,1.0,0.36,76.0,79.0,59.0
E. Díaz,Independiente Petrolero,ZAGUEIRO,BOL,-2.72,-0.22,-2.72,3.0,40.0,2.0
S. Echeverría,Wilstermann,ZAGUEIRO,BOL,0.61,1.31,1.3,71.0,86.0,88.0
A. Jusino,The Strongest,ZAGUEIRO,BOL,0.61,-2.77,-0.25,72.0,5.0,45.0
P. Vaca,Always Ready,ZAGUEIRO,BOL,1.22,-0.93,0.91,86.0,22.0,74.0
M. Portillo,Guabirá,ZAGUEIRO,BOL,-0.73,-0.1,-0.17,21.0,47.0,47.0
D. Robles,Aurora,ZAGUEIRO,BOL,-1.16,-1.41,2.15,16.0,17.0,93.0
L. Barboza,Aurora,ZAGUEIRO,BOL,-0.34,-0.04,-2.27,34.0,48.0,9.0
J. Vila,Universitario de Vinto,ZAGUEIRO,BOL,0.66,1.0,-0.41,74.0,81.0,40.0
J. Lencinas,Universitario de Vinto,ZAGUEIRO,BOL,0.73,-1.0,0.3,79.0,19.0,55.0
Sidimar,Goiás,ZAGUEIRO,BRA1,0.09,-1.41,-0.57,61.0,15.0,39.0
David Luiz,Flamengo,ZAGUEIRO,BRA1,0.04,-0.78,3.39,54.0,28.0,96.0
David Braz,Goiás,ZAGUEIRO,BRA1,0.08,-0.34,-0.14,60.0,42.0,51.0
Gustavo Martins,Grêmio,ZAGUEIRO,BRA1,-0.2,1.77,0.96,37.0,88.0,78.0
Felipe Melo,Fluminense,ZAGUEIRO,BRA1,0.39,-0.86,1.45,72.0,24.0,84.0
Bruno Fuchs,Atlético Mineiro,ZAGUEIRO,BRA1,-0.25,1.15,1.59,36.0,85.0,87.0
Igor Rabello,Atlético Mineiro,ZAGUEIRO,BRA1,0.22,1.0,0.66,66.0,84.0,75.0
Marlon,Fluminense,ZAGUEIRO,BRA1,1.62,-2.19,0.3,96.0,4.0,67.0
Thalisson,Coritiba,ZAGUEIRO,BRA1,-1.31,0.8,-1.71,9.0,76.0,15.0
Rodrigo Ely,Grêmio,ZAGUEIRO,BRA1,-0.07,0.86,-2.54,46.0,79.0,7.0
Allyson,Cuiabá,ZAGUEIRO,BRA1,0.27,0.88,-1.67,69.0,81.0,16.0
Zé Ivaldo,Cruzeiro,ZAGUEIRO,BRA1,-0.15,-0.53,1.92,42.0,39.0,88.0
Benevenuto,Coritiba,ZAGUEIRO,BRA1,-0.37,-0.64,-1.58,31.0,34.0,18.0
Luan Patrick,Athletico Paranaense,ZAGUEIRO,BRA1,-0.79,0.71,-0.85,19.0,73.0,31.0
Éder,América Mineiro,ZAGUEIRO,BRA1,-0.83,2.39,0.09,16.0,94.0,58.0
João Basso,Estoril,ZAGUEIRO,BRA1,-1.13,-0.26,0.15,13.0,45.0,61.0
Kaique Rocha,Athletico Paranaense,ZAGUEIRO,BRA1,0.0,0.66,-0.99,49.0,72.0,27.0
Caetano,Corinthians,ZAGUEIRO,BRA1,-0.4,-0.13,0.64,30.0,52.0,72.0
Gabriel Xavier,Bahia,ZAGUEIRO,BRA1,1.38,3.17,-1.18,93.0,100.0,22.0
A. Franco,São Paulo,ZAGUEIRO,BRA1,0.96,-1.12,0.97,91.0,22.0,79.0
Igor Gomes,Internacional,ZAGUEIRO,BRA1,0.96,0.08,0.27,90.0,60.0,64.0
N. Hernández,San Lorenzo,ZAGUEIRO,BRA1,-1.19,-0.74,-0.42,10.0,30.0,43.0
Ricardo Silva,América Mineiro,ZAGUEIRO,BRA1,-1.42,2.39,-0.56,7.0,96.0,40.0
Lucas Veríssimo,Al Duhail,ZAGUEIRO,BRA1,0.49,-0.11,-0.89,75.0,54.0,30.0
Bruno Uvini,Vitória,ZAGUEIRO,BRA1,0.04,2.62,-2.68,57.0,97.0,3.0
L. Realpe,Red Bull Bragantino,ZAGUEIRO,BRA1,-0.15,-1.52,-0.39,40.0,10.0,45.0
Nino,Zenit,ZAGUEIRO,BRA1,1.88,-0.72,2.81,97.0,31.0,94.0
Maicon,Vasco da Gama,ZAGUEIRO,BRA1,0.69,0.24,2.06,81.0,63.0,90.0
Henrique,Coritiba,ZAGUEIRO,BRA1,-1.85,-1.13,-1.82,1.0,21.0,12.0
Luan,Palmeiras,ZAGUEIRO,BRA1,-0.26,-1.43,-0.19,34.0,13.0,48.0
Léo Ortiz,Flamengo,ZAGUEIRO,BRA1,0.24,-0.08,4.38,67.0,57.0,99.0
