,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
326,R. Fernández,Selangor,ATACANTE,BOL,0.51,83,0.51,83
327,M. Riquelme,Oriente Petrolero,ATACANTE,BOL,-1.14,11,-1.14,11
328,F. Pasadore,San Antonio Bulo Bulo,ATACANTE,BOL,-0.06,51,-0.06,51
329,J. Cristaldo,Independiente Petrolero,ATACANTE,BOL,0.2,66,0.2,66
330,Francisco da Costa,Bolívar,ATACANTE,BOL,1.01,89,1.01,89
331,A. Nahuelpán,Wilstermann,ATACANTE,BOL,-0.67,29,-0.67,29
332,C. Algarañaz,Bolívar,ATACANTE,BOL,-0.37,37,-0.37,37
333,C. Menacho,Blooming,ATACANTE,BOL,-0.58,31,-0.58,31
334,D. Romero,Aktobe,ATACANTE,BOL,-0.16,43,-0.16,43
335,L. Gutiérrez,Santa Cruz,ATACANTE,BOL,0.35,80,0.35,80
336,A. Quintana,Guabirá,ATACANTE,BOL,-0.14,46,-0.14,46
337,A. Llano,Universitario de Vinto,ATACANTE,BOL,0.96,86,0.96,86
338,E. Triverio,The Strongest,ATACANTE,BOL,0.3,71,0.3,71
339,J. Reinoso,Aurora,ATACANTE,BOL,-1.03,17,-1.03,17
340,J. Godoy,Independiente Petrolero,ATACANTE,BOL,-0.89,23,-0.89,23
341,O. Blanco,Aurora,ATACANTE,BOL,1.33,94,1.33,94
342,T. Tobar,Universitario de Vinto,ATACANTE,BOL,0.07,57,0.07,57
343,I. Slimani,Mechelen,ATACANTE,BRA1,-1.33,3,-1.33,3
344,João Pedro,Grêmio,ATACANTE,BRA1,-0.59,36,-0.59,36
345,Matheus Babi,Peñarol,ATACANTE,BRA1,-0.56,44,-0.56,44
346,Pedro Henrique,Corinthians,ATACANTE,BRA1,0.71,86,0.71,86
347,I. Pitta,Cuiabá,ATACANTE,BRA1,0.07,61,0.07,61
348,Lelê,Fluminense,ATACANTE,BRA1,-0.52,50,-0.52,50
349,João Magno,Gwangju,ATACANTE,BRA1,-0.55,47,-0.55,47
350,Gabriel Barbosa,Flamengo,ATACANTE,BRA1,-0.79,14,-0.79,14
351,Luiz Adriano,Vitória,ATACANTE,BRA1,-0.88,11,-0.88,11
352,John Kennedy,Fluminense,ATACANTE,BRA1,2.35,97,2.35,97
353,Vitor Roque,Barcelona,ATACANTE,BRA1,0.63,78,0.63,78
354,Juan,São Paulo,ATACANTE,BRA1,0.33,69,0.33,69
355,J. Calleri,São Paulo,ATACANTE,BRA1,-0.23,58,-0.23,58
356,Pablo,Athletico Paranaense,ATACANTE,BRA1,-0.65,25,-0.65,25
357,Felipe Azevedo,América Mineiro,ATACANTE,BRA1,0.66,81,0.66,81
358,E. Valencia,Internacional,ATACANTE,BRA1,0.7,83,0.7,83
359,T. Borbas,Red Bull Bragantino,ATACANTE,BRA1,-0.7,22,-0.7,22
360,Rony,Palmeiras,ATACANTE,BRA1,-0.59,33,-0.59,33
361,Y. Soteldo,Grêmio,ATACANTE,BRA1,3.31,100,3.31,100
362,Thiago Galhardo,Goiás,ATACANTE,BRA1,0.53,75,0.53,75
363,Endrick,Palmeiras,ATACANTE,BRA1,0.96,92,0.96,92
364,G. Mastriani,Athletico Paranaense,ATACANTE,BRA1,-1.12,6,-1.12,6
365,Tiquinho Soares,Botafogo,ATACANTE,BRA1,-0.36,56,-0.36,56
366,Everaldo,Bahia,ATACANTE,BRA1,-0.58,42,-0.58,42
367,J. Lucero,Fortaleza,ATACANTE,BRA1,-0.63,28,-0.63,28
368,Eduardo Sasha,Red Bull Bragantino,ATACANTE,BRA1,-0.59,31,-0.59,31
369,Marcos Leonardo,Benfica,ATACANTE,BRA1,0.31,64,0.31,64
370,Bruno Rodrigues,Palmeiras,ATACANTE,BRA1,0.4,72,0.4,72
371,L. Suárez,Inter Miami,ATACANTE,BRA1,0.32,67,0.32,67
372,G. Cano,Fluminense,ATACANTE,BRA1,-1.02,8,-1.02,8
373,P. Vegetti,Vasco da Gama,ATACANTE,BRA1,-0.76,17,-0.76,17
374,Pedro,Flamengo,ATACANTE,BRA1,-0.43,53,-0.43,53
375,Yuri Alberto,Corinthians,ATACANTE,BRA1,-0.74,19,-0.74,19
376,Deyverson,Cuiabá,ATACANTE,BRA1,-0.58,39,-0.58,39
377,Hulk,Atlético Mineiro,ATACANTE,BRA1,2.09,94,2.09,94
378,Paulinho,Atlético Mineiro,ATACANTE,BRA1,0.86,89,0.86,89
379,Saulo Mineiro,Ceará,ATACANTE,BRA2,0.72,79,0.72,79
380,Bissoli,Buriram United,ATACANTE,BRA2,-0.94,19,-0.94,19
381,Rodolfo,Grêmio Novorizontino,ATACANTE,BRA2,0.56,74,0.56,74
382,Alex Sandro,Botafogo SP,ATACANTE,BRA2,2.05,95,2.05,95
383,Wallyson,ABC,ATACANTE,BRA2,-0.22,48,-0.22,48
384,Edson Cariús,Ypiranga Erechim,ATACANTE,BRA2,-1.14,12,-1.14,12
385,Matheus Cadorini,Ituano,ATACANTE,BRA2,-1.44,7,-1.44,7
386,Gabriel Taliari,Juventude,ATACANTE,BRA2,0.09,60,0.09,60
387,Jeh,Ponte Preta,ATACANTE,BRA2,0.9,86,0.9,86
388,Bruno Mendes,Guarani,ATACANTE,BRA2,-0.11,52,-0.11,52
389,Rodrigo Rodrigues,ES Tunis,ATACANTE,BRA2,-0.79,24,-0.79,24
390,Iury,Vitória,ATACANTE,BRA2,2.14,100,2.14,100
391,Diego Quirino,Mirassol,ATACANTE,BRA2,-0.31,43,-0.31,43
392,Hygor,Avaí,ATACANTE,BRA2,-0.22,45,-0.22,45
393,Paulo Sérgio,Náutico,ATACANTE,BRA2,-0.63,36,-0.63,36
394,Felipe Vizeu,Criciúma,ATACANTE,BRA2,0.06,57,0.06,57
395,Rômulo Souza,Chapecoense,ATACANTE,BRA2,0.49,71,0.49,71
396,Kayke,São Bernardo FC,ATACANTE,BRA2,-0.66,31,-0.66,31
397,Léo Gamalho,Vitória,ATACANTE,BRA2,-1.53,5,-1.53,5
398,Zé Roberto,Sport Recife,ATACANTE,BRA2,-0.12,50,-0.12,50
399,Salatiel,Ituano,ATACANTE,BRA2,-0.96,17,-0.96,17
400,Nicolas,Paysandu,ATACANTE,BRA2,-1.18,10,-1.18,10
401,Éder,Criciúma,ATACANTE,BRA2,0.81,83,0.81,83
402,Gabriel Poveda,Avaí,ATACANTE,BRA2,-0.75,29,-0.75,29
403,Matheus Anjos,Remo,ATACANTE,BRA2,1.63,90,1.63,90
404,Derek,Atlético GO,ATACANTE,BRA2,0.77,81,0.77,81
405,Bruno Nazário,Henan Songshan Longmen,ATACANTE,BRA2,0.25,67,0.25,67
406,Igor Henrique,Vila Nova,ATACANTE,BRA2,1.92,93,1.92,93
407,Neto Pessôa,Grêmio Novorizontino,ATACANTE,BRA2,-0.89,21,-0.89,21
408,Thonny Anderson,Ituano,ATACANTE,BRA2,1.3,88,1.3,88
409,Jorginho,CRB,ATACANTE,BRA2,0.19,64,0.19,64
410,Fernandão,Vila Nova,ATACANTE,BRA2,-0.65,33,-0.65,33
411,Eliel,Cuiabá,ATACANTE,BRA2,0.26,69,0.26,69
412,Ronaldo,Operário PR,ATACANTE,BRA2,-1.03,14,-1.03,14
413,Caio Dantas,Guarani,ATACANTE,BRA2,0.62,76,0.62,76
414,Ytalo,Remo,ATACANTE,BRA2,-1.59,2,-1.59,2
415,Vágner Love,Atlético GO,ATACANTE,BRA2,0.15,62,0.15,62
416,Iago Dias,Ponte Preta,ATACANTE,BRA2,2.11,98,2.11,98
417,Osman,Brusque,ATACANTE,BRA2,-0.54,38,-0.54,38
418,Anselmo Ramon,CRB,ATACANTE,BRA2,-0.09,55,-0.09,55
419,Gustavo Coutinho,Sport Recife,ATACANTE,BRA2,-0.77,26,-0.77,26
420,Gabriel,Mirassol,ATACANTE,BRA2,-0.44,40,-0.44,40
421,Ingro,Hercílio Luz,ATACANTE,BRA3,2.23,95,2.23,95
422,Erick Farias,Juventude,ATACANTE,BRA3,-0.16,57,-0.16,57
423,Dione,Confiança,ATACANTE,BRA3,-0.48,38,-0.48,38
424,Danilo Mariotto,Hercílio Luz,ATACANTE,BRA3,-1.04,14,-1.04,14
425,Nícolas Careca,Paysandu,ATACANTE,BRA3,-0.53,33,-0.53,33
426,Klenisson,Cascavel,ATACANTE,BRA3,0.31,71,0.31,71
427,Bruno Santos,Sagamihara,ATACANTE,BRA3,-0.91,19,-0.91,19
428,Muriqui,Joinville,ATACANTE,BRA3,0.53,81,0.53,81
429,Calyson,Londrina,ATACANTE,BRA3,2.41,100,2.41,100
430,William Barbio,Amazonas,ATACANTE,BRA3,-0.18,52,-0.18,52
431,Gabriel Taliari,Juventude,ATACANTE,BRA3,1.15,90,1.15,90
432,Manoel,Cascavel,ATACANTE,BRA3,0.52,76,0.52,76
433,Marco Antônio,Náutico,ATACANTE,BRA3,-1.27,10,-1.27,10
434,Guilherme Queiróz,Brusque,ATACANTE,BRA3,-0.19,48,-0.19,48
435,Robert,Aparecidense,ATACANTE,BRA3,0.1,67,0.1,67
436,Thiago Santos,Barra,ATACANTE,BRA3,-1.54,5,-1.54,5
437,João Carlos,São Bernardo FC,ATACANTE,BRA3,-0.77,29,-0.77,29
438,Felipe Augusto,Operário PR,ATACANTE,BRA3,0.71,86,0.71,86
439,Mário Sérgio,Chapecoense,ATACANTE,BRA3,-0.78,24,-0.78,24
440,Sassá,Amazonas,ATACANTE,BRA3,0.07,62,0.07,62
441,Ítalo,Volta Redonda,ATACANTE,BRA3,-0.19,43,-0.19,43
442,M. Sorakov,Slavia Sofia,ATACANTE,BUL,-0.33,47,-0.33,47
443,K. Krastev,Lokomotiv Sofia 1929,ATACANTE,BUL,-0.19,53,-0.19,53
444,Fernando Karanga,CSKA Sofia,ATACANTE,BUL,0.12,76,0.12,76
445,M. Estrada,LDU Quito,ATACANTE,BUL,-0.39,39,-0.39,39
446,A. Baroan,Winterthur,ATACANTE,BUL,-0.15,55,-0.15,55
447,I. Dimitrov,Etar,ATACANTE,BUL,-0.89,11,-0.89,11
448,M. Papazov,Hebar 1918,ATACANTE,BUL,0.68,89,0.68,89
449,S. Villa,Beroe,ATACANTE,BUL,3.5,100,3.5,100
450,M. Cevallos,El Palo,ATACANTE,BUL,-1.06,3,-1.06,3
451,D. Kondrakov,Sliema Wanderers,ATACANTE,BUL,-0.49,34,-0.49,34
452,M. Ntelo,Lokomotiv Plovdiv,ATACANTE,BUL,-0.5,29,-0.5,29
453,I. Vasilev,Etar,ATACANTE,BUL,-0.94,8,-0.94,8
454,M. Toshev,Septemvri Sofia,ATACANTE,BUL,-0.96,5,-0.96,5
455,S. Traoré,Lokomotiv Sofia 1929,ATACANTE,BUL,1.77,92,1.77,92
456,A. Vutov,CSKA 1948 Sofia,ATACANTE,BUL,-0.07,61,-0.07,61
457,E. Stoev,Slavia Sofia,ATACANTE,BUL,-0.38,42,-0.38,42
458,I. Issa,Cherno More,ATACANTE,BUL,-0.05,66,-0.05,66
459,K. Duah,Ludogorets,ATACANTE,BUL,-0.79,13,-0.79,13
460,Diego Raposo,Krumovgrad,ATACANTE,BUL,-0.12,58,-0.12,58
461,M. Sekulić,Botev Plovdiv,ATACANTE,BUL,0.36,84,0.36,84
462,D. Nazon,Kayserispor,ATACANTE,BUL,0.11,74,0.11,74
463,Patrick Luan,Krumovgrad,ATACANTE,BUL,0.2,79,0.2,79
464,G. Minchev,AEL,ATACANTE,BUL,-0.78,16,-0.78,16
465,V. Nikolov,Slavia Sofia,ATACANTE,BUL,-0.07,63,-0.07,63
466,P. Borukov,Marítimo,ATACANTE,BUL,0.39,87,0.39,87
467,A. Iliev,Cherno More,ATACANTE,BUL,-0.75,21,-0.75,21
468,T. Yordanov,Arda,ATACANTE,BUL,-0.76,18,-0.76,18
469,G. Nikolov,Botev Plovdiv,ATACANTE,BUL,-0.53,26,-0.53,26
470,D. Mitkov,Lokomotiv Sofia 1929,ATACANTE,BUL,-0.71,24,-0.71,24
471,Rwan Cruz,Ludogorets,ATACANTE,BUL,-0.36,45,-0.36,45
472,D. Genov,Botev Vratsa,ATACANTE,BUL,0.06,71,0.06,71
473,M. Phaeton,CSKA Sofia,ATACANTE,BUL,3.0,97,3.0,97
474,Ricardinho,Levski Sofia,ATACANTE,BUL,-0.5,32,-0.5,32
475,H. Komano,OFK Pirin,ATACANTE,BUL,-0.32,50,-0.32,50
476,França,Lokomotiv Sofia 1929,ATACANTE,BUL,2.05,95,2.05,95
477,D. Iliev,Lokomotiv Plovdiv,ATACANTE,BUL,0.26,82,0.26,82
478,B. Perea,Botev Vratsa,ATACANTE,BUL,0.03,68,0.03,68
479,A. Kolev,Krumovgrad,ATACANTE,BUL,-0.45,37,-0.45,37
480,W. Ponce,Unión La Calera,ATACANTE,CAN,-0.37,47,-0.37,47
481,E. Ongaro,Novara,ATACANTE,CAN,-0.46,40,-0.46,40
482,O. De Rosario,Tacoma Defiance,ATACANTE,CAN,0.26,67,0.26,67
483,Rubén del Campo,Atlético Ottawa,ATACANTE,CAN,0.52,73,0.52,73
484,T. Coimbra,HFX Wanderers FC,ATACANTE,CAN,0.65,80,0.65,80
485,W. Pacius,Nashville SC,ATACANTE,CAN,-0.75,33,-0.75,33
486,A. Reid,Pacific FC,ATACANTE,CAN,2.49,100,2.49,100
487,S. Salter,Atlético Ottawa,ATACANTE,CAN,-1.11,13,-1.11,13
488,K. Williams,Valour FC,ATACANTE,CAN,1.03,87,1.03,87
489,M. Shaw,Cavalry,ATACANTE,CAN,0.02,60,0.02,60
490,B. Wright,York United FC,ATACANTE,CAN,-0.16,53,-0.16,53
491,A. Díaz,Vancouver FC,ATACANTE,CAN,-1.36,7,-1.36,7
492,S. Hundal,Valour FC,ATACANTE,CAN,1.1,93,1.1,93
493,M. Bevan,Cavalry,ATACANTE,CAN,-0.99,20,-0.99,20
494,T. Campbell,Forge,ATACANTE,CAN,-0.86,27,-0.86,27
495,B. Monroy,Cobreloa,ATACANTE,CHI,-0.49,39,-0.49,39
496,C. Waterman,Alianza Lima,ATACANTE,CHI,-1.01,16,-1.01,16
497,R. Contreras,Everton,ATACANTE,CHI,0.45,71,0.45,71
498,G. Álvarez,Audax Italiano,ATACANTE,CHI,1.08,89,1.08,89
499,S. Lomónaco,Panetolikos FC,ATACANTE,CHI,0.25,66,0.25,66
500,F. Flores,Deportes Limache,ATACANTE,CHI,0.22,63,0.22,63
501,A. Rodríguez,Santa Fe,ATACANTE,CHI,-0.76,32,-0.76,32
502,S. Pino,Deportes Iquique,ATACANTE,CHI,-0.47,42,-0.47,42
503,C. Insaurralde,Cobreloa,ATACANTE,CHI,3.18,100,3.18,100
504,G. Graciani,Ñublense,ATACANTE,CHI,-0.05,55,-0.05,55
505,B. Blando,Melgar,ATACANTE,CHI,2.25,97,2.25,97
506,J. Larrivey,Magallanes,ATACANTE,CHI,-1.16,5,-1.16,5
507,P. Sánchez,Ñublense,ATACANTE,CHI,-0.25,50,-0.25,50
508,N. Guerra,Universidad de Chile,ATACANTE,CHI,0.58,74,0.58,74
509,F. Soldano,Unión La Calera,ATACANTE,CHI,-1.05,13,-1.05,13
510,I. Jeraldino,Audax Italiano,ATACANTE,CHI,-0.83,29,-0.83,29
511,G. Lezcano,Cobresal,ATACANTE,CHI,0.08,61,0.08,61
512,M. Salas,Racing Club,ATACANTE,CHI,-0.28,47,-0.28,47
513,I. Díaz,Copiapó,ATACANTE,CHI,-0.67,37,-0.67,37
514,L. Garate,Huracán,ATACANTE,CHI,-0.33,45,-0.33,45
515,T. Figueroa,Copiapó,ATACANTE,CHI,-0.85,26,-0.85,26
516,R. Holgado,América de Cali,ATACANTE,CHI,0.87,84,0.87,84
517,D. Pizarro,Colo Colo,ATACANTE,CHI,0.77,79,0.77,79
518,M. Campos,Everton,ATACANTE,CHI,0.01,58,0.01,58
519,A. Castillo,O'Higgins,ATACANTE,CHI,-0.97,18,-0.97,18
520,G. Tapia,Universidad Católica,ATACANTE,CHI,0.69,76,0.69,76
521,P. Rubio,Ñublense,ATACANTE,CHI,-0.69,34,-0.69,34
522,S. Sáez,Huachipato,ATACANTE,CHI,-0.96,24,-0.96,24
523,C. Palacios,Universidad de Chile,ATACANTE,CHI,-1.07,11,-1.07,11
524,M. Quinteros,Copiapó,ATACANTE,CHI,0.33,68,0.33,68
525,D. Coelho,Cobresal,ATACANTE,CHI,-0.97,21,-0.97,21
526,G. Sosa,Palestino,ATACANTE,CHI,-1.13,8,-1.13,8
527,I. Sosa,Ñublense,ATACANTE,CHI,0.85,82,0.85,82
528,M. Rodríguez,Huachipato,ATACANTE,CHI,-0.06,53,-0.06,53
529,L. Fernández,Universidad de Chile,ATACANTE,CHI,1.44,95,1.44,95
530,L. Valencia,Cobresal,ATACANTE,CHI,1.04,87,1.04,87
531,L. Cabral,Coquimbo Unido,ATACANTE,CHI,1.17,92,1.17,92
532,F. Zampedri,Universidad Católica,ATACANTE,CHI,-1.21,3,-1.21,3
533,Cheng Changcheng,Changchun Yatai,ATACANTE,CHN,-0.81,12,-0.81,12
534,Zhang Yuning,Beijing Guoan,ATACANTE,CHN,0.46,79,0.46,79
535,Yan Xiangchuang,Dalian Young Boy,ATACANTE,CHN,-0.6,24,-0.6,24
536,Duan Liuyu,Qingdao West Coast,ATACANTE,CHN,-0.5,29,-0.5,29
537,Tao Qianglong,Wuhan Three Towns,ATACANTE,CHN,1.04,97,1.04,97
538,J. Godínez,Nantong Zhiyun,ATACANTE,CHN,-0.41,38,-0.41,38
539,Du Yuezheng,Shenzhen,ATACANTE,CHN,-0.14,59,-0.14,59
540,Alan,Qingdao West Coast,ATACANTE,CHN,-0.28,47,-0.28,47
541,Pedro Henrique,Wuhan Three Towns,ATACANTE,CHN,-0.97,6,-0.97,6
542,Héber,Cangzhou Mighty Lions,ATACANTE,CHN,-0.4,41,-0.4,41
543,Darlan,Wuhan Three Towns,ATACANTE,CHN,0.14,71,0.14,71
544,R. Castillo,Motagua,ATACANTE,CHN,-0.95,9,-0.95,9
545,J. Locadia,Amorebieta,ATACANTE,CHN,-0.17,53,-0.17,53
546,André Luis,Shanghai Shenhua,ATACANTE,CHN,-0.45,32,-0.45,32
547,M. Boakye,Qingdao Hainiu,ATACANTE,CHN,-0.69,21,-0.69,21
548,Bruno Nazário,Henan Songshan Longmen,ATACANTE,CHN,0.71,88,0.71,88
549,N. Mushekwi,Yunnan Yukun,ATACANTE,CHN,-1.15,3,-1.15,3
550,A. Yakubu,Rio Ave,ATACANTE,CHN,0.1,68,0.1,68
551,C. Manzoki,Hatta,ATACANTE,CHN,-0.08,62,-0.08,62
552,F. Acheampong,Henan Songshan Longmen,ATACANTE,CHN,0.89,91,0.89,91
553,F. Brown Forbes,East Bengal,ATACANTE,CHN,-0.77,15,-0.77,15
554,Serginho,Changchun Yatai,ATACANTE,CHN,-0.05,65,-0.05,65
555,Zheng Haoqian,Nantong Zhiyun,ATACANTE,CHN,-0.6,26,-0.6,26
556,Xie Weijun,Tianjin Tigers,ATACANTE,CHN,-0.32,44,-0.32,44
557,F. Abreu,Beijing Guoan,ATACANTE,CHN,0.51,82,0.51,82
558,T. Conraad,Meizhou Hakka,ATACANTE,CHN,-0.15,56,-0.15,56
559,Cryzan,Shandong Taishan,ATACANTE,CHN,4.7,100,4.7,100
560,R. Beric,Changchun Yatai,ATACANTE,CHN,0.37,76,0.37,76
561,C. Malele,Shanghai Shenhua,ATACANTE,CHN,1.0,94,1.0,94
562,N. Čović,Henan Songshan Longmen,ATACANTE,CHN,-0.17,50,-0.17,50
563,Tan Long,Changchun Yatai,ATACANTE,CHN,-0.74,18,-0.74,18
564,Felipe,Chengdu Rongcheng,ATACANTE,CHN,0.63,85,0.63,85
565,Wu Lei,Shanghai Port,ATACANTE,CHN,-0.44,35,-0.44,35
566,Leonardo,Zhejiang Professional,ATACANTE,CHN,0.27,74,0.27,74
567,A. Balboa,Unión Santa Fe,ATACANTE,COL,-0.54,36,-0.54,36
568,A. Rodríguez,Santa Fe,ATACANTE,COL,-0.27,49,-0.27,49
569,J. Alegría,Guangzhou FC,ATACANTE,COL,0.0,62,0.0,62
570,J. Ramos,Águilas Doradas,ATACANTE,COL,-1.14,6,-1.14,6
571,E. Medrano,Jaguares de Córdoba,ATACANTE,COL,2.97,100,2.97,100
572,S. Giordana,Millonarios,ATACANTE,COL,-0.69,23,-0.69,23
573,J. Pérez,Boyacá Chicó,ATACANTE,COL,1.18,89,1.18,89
574,S. Tréllez,Deportivo Pasto,ATACANTE,COL,-1.39,2,-1.39,2
575,F. Suárez,Instituto,ATACANTE,COL,-0.24,51,-0.24,51
576,I. Camargo,Deportivo Cali,ATACANTE,COL,-0.37,47,-0.37,47
577,R. Holgado,América de Cali,ATACANTE,COL,0.37,74,0.37,74
578,Á. Rodríguez,Goiás,ATACANTE,COL,0.07,68,0.07,68
579,Y. Cabrera,Deportivo Pereira,ATACANTE,COL,0.0,64,0.0,64
580,G. Ramírez,Atlético Morelia,ATACANTE,COL,-0.11,55,-0.11,55
581,T. Gutiérrez,Real Cartagena,ATACANTE,COL,-0.65,30,-0.65,30
582,S. Navarro,Fortaleza,ATACANTE,COL,-0.57,34,-0.57,34
583,P. Bueno,Sport Boys,ATACANTE,COL,-0.67,26,-0.67,26
584,M. Gómez,Boyacá Chicó,ATACANTE,COL,-0.77,21,-0.77,21
585,R. Márquez,Atlético Bucaramanga,ATACANTE,COL,-1.15,4,-1.15,4
586,M. Martínez,Atlético Bucaramanga,ATACANTE,COL,-0.45,45,-0.45,45
587,D. López,Zakho,ATACANTE,COL,-0.45,43,-0.45,43
588,Y. Moreno,Envigado,ATACANTE,COL,-0.59,32,-0.59,32
589,A. Rentería,Alianza,ATACANTE,COL,0.42,77,0.42,77
590,D. Pabón,Atlético Nacional,ATACANTE,COL,1.34,91,1.34,91
591,K. Viveros,La Equidad,ATACANTE,COL,1.84,94,1.84,94
592,D. Herazo,San Lorenzo,ATACANTE,COL,-0.87,17,-0.87,17
593,E. Ramírez,Atlético Nacional,ATACANTE,COL,0.0,60,0.0,60
594,J. González,Santa Fe,ATACANTE,COL,2.92,98,2.92,98
595,D. Mosquera,Atlético Bucaramanga,ATACANTE,COL,0.55,79,0.55,79
596,A. Ibargüen,Deportivo Pereira,ATACANTE,COL,1.03,87,1.03,87
597,B. Gil,Tolima,ATACANTE,COL,-0.14,53,-0.14,53
598,J. Lloreda,La Equidad,ATACANTE,COL,0.33,72,0.33,72
599,L. Pons,Universidad de Chile,ATACANTE,COL,-1.04,9,-1.04,9
600,A. Ramos,América de Cali,ATACANTE,COL,-0.07,57,-0.07,57
601,L. Sandoval,Real Cartagena,ATACANTE,COL,0.64,85,0.64,85
602,B. Garcés,Envigado,ATACANTE,COL,-0.8,19,-0.8,19
603,W. Morelo,Jaguares de Córdoba,ATACANTE,COL,0.56,81,0.56,81
604,Jefferson Duque,Atlético Nacional,ATACANTE,COL,-0.91,15,-0.91,15
605,A. Parra,Fortaleza,ATACANTE,COL,0.29,70,0.29,70
606,B. Muñiz,Medellín,ATACANTE,COL,0.61,83,0.61,83
607,H. Rodallega,Santa Fe,ATACANTE,COL,-0.48,40,-0.48,40
608,D. Quintero,Deportivo Pereira,ATACANTE,COL,2.39,96,2.39,96
609,M. Pérez,Junior,ATACANTE,COL,-1.01,11,-1.01,11
610,L. Castro,Millonarios,ATACANTE,COL,0.02,66,0.02,66
611,C. Bacca,Junior,ATACANTE,COL,-0.66,28,-0.66,28
612,W. Cruz,Boyacá Chicó,ATACANTE,COL,-0.52,38,-0.52,38
613,D. Moreno,Once Caldas,ATACANTE,COL,-0.99,13,-0.99,13
614,J. Bolaños,Guanacasteca,ATACANTE,CRC,2.7,97,2.7,97
615,Daniel Díaz,San Carlos,ATACANTE,CRC,0.97,91,0.97,91
616,J. Mitchell,Pérez Zeledón,ATACANTE,CRC,-1.06,15,-1.06,15
617,K. Bernard,Puntarenas,ATACANTE,CRC,0.32,82,0.32,82
618,L. Madrigal,Sporting FC,ATACANTE,CRC,-1.56,6,-1.56,6
619,O. Sinclair,Deportivo Saprissa,ATACANTE,CRC,0.22,76,0.22,76
620,J. Villalobos,Santos de Guápiles,ATACANTE,CRC,0.22,73,0.22,73
621,J. Cordero,Puntarenas,ATACANTE,CRC,0.44,85,0.44,85
622,J. Navarro,Alajuelense,ATACANTE,CRC,-0.15,48,-0.15,48
623,J. Moya,Alajuelense,ATACANTE,CRC,-1.76,3,-1.76,3
624,A. Villalobos,Municipal Grecia,ATACANTE,CRC,-1.11,12,-1.11,12
625,K. Cole,Municipal Grecia,ATACANTE,CRC,-0.14,52,-0.14,52
626,M. Ureña,Cartaginés,ATACANTE,CRC,-0.22,39,-0.22,39
627,E. Torres,Herediano,ATACANTE,CRC,-0.7,24,-0.7,24
628,B. Rojas,Municipal Liberia,ATACANTE,CRC,-0.18,45,-0.18,45
629,J. Montenegro,Egnatia Rrogozhinë,ATACANTE,CRC,2.1,94,2.1,94
630,J. Córdoba,Guanacasteca,ATACANTE,CRC,-0.12,55,-0.12,55
631,J. Monge,Pérez Zeledón,ATACANTE,CRC,-0.24,33,-0.24,33
632,J. Venegas,Alajuelense,ATACANTE,CRC,-0.58,27,-0.58,27
633,J. Godínez,Nantong Zhiyun,ATACANTE,CRC,-1.24,9,-1.24,9
634,D. Rodríguez,Puntarenas,ATACANTE,CRC,0.08,67,0.08,67
635,J. Daly,Cartaginés,ATACANTE,CRC,-0.3,30,-0.3,30
636,G. Leiva,San Carlos,ATACANTE,CRC,0.95,88,0.95,88
637,D. Colindres,Municipal Liberia,ATACANTE,CRC,0.25,79,0.25,79
638,R. Vidal,Municipal Liberia,ATACANTE,CRC,0.04,61,0.04,61
639,W. Madrigal,Deportivo Saprissa,ATACANTE,CRC,-0.2,42,-0.2,42
640,J. Hernández,Guanacasteca,ATACANTE,CRC,-0.06,58,-0.06,58
641,S. Matarrita,Santos de Guápiles,ATACANTE,CRC,-0.74,18,-0.74,18
642,A. Rodríguez,Deportivo Saprissa,ATACANTE,CRC,0.21,70,0.21,70
643,Steven Cárdenas,Sporting FC,ATACANTE,CRC,0.08,64,0.08,64
644,J. McDonald,San Carlos,ATACANTE,CRC,-0.71,21,-0.71,21
645,M. Hernández,Cartaginés,ATACANTE,CRC,-0.22,36,-0.22,36
646,J. Campbell,Alajuelense,ATACANTE,CRC,2.71,100,2.71,100
647,K. Špeljak,Rudeš,ATACANTE,CRO,0.73,83,0.73,83
648,A. Matković,Osijek,ATACANTE,CRO,1.84,94,1.84,94
649,M. Dabro,Varaždin,ATACANTE,CRO,-0.43,50,-0.43,50
650,E. Filet,Istra 1961,ATACANTE,CRO,0.21,67,0.21,67
651,T. Matavž,Gorica,ATACANTE,CRO,-1.18,11,-1.18,11
652,S. Kulenović,Dinamo Zagreb,ATACANTE,CRO,-0.81,22,-0.81,22
653,J. Obregón,Rijeka,ATACANTE,CRO,0.0,61,0.0,61
654,A. Jurič,Gorica,ATACANTE,CRO,-0.51,44,-0.51,44
655,I. Tuci,Sparta Praha,ATACANTE,CRO,-0.85,17,-0.85,17
656,D. Čop,Lokomotiva Zagreb,ATACANTE,CRO,-0.69,39,-0.69,39
657,F. Brodić,Dinamo Zagreb,ATACANTE,CRO,-0.71,33,-0.71,33
658,F. Ivanović,Rijeka,ATACANTE,CRO,1.79,89,1.79,89
659,N. Vujnović,Gorica,ATACANTE,CRO,-1.27,6,-1.27,6
660,A. Erceg,Istra 1961,ATACANTE,CRO,0.58,78,0.58,78
661,T. Štrkalj,Slaven Belupo,ATACANTE,CRO,-0.75,28,-0.75,28
662,B. Petković,Dinamo Zagreb,ATACANTE,CRO,1.94,100,1.94,100
