Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
M. Kramer,RKC Waalwijk,ATACANTE,HOL,-1.64,-1.74,-0.3,-0.95,0.63,-1.34,0.52,-0.98,0.92,13,23,35,26,61,29,71,6,68
M. Seuntjens,Utrecht,ATACANTE,HOL,1.93,1.6,1.01,1.45,-1.9,2.0,-1.39,1.95,-2.26,97,84,87,90,16,90,23,94,10
L. de Jong,PSV,ATACANTE,HOL,0.95,-0.12,1.65,-1.18,2.73,2.04,2.34,-0.71,2.77,77,48,90,13,94,94,94,26,100
V. Pavlidis,AZ,ATACANTE,HOL,1.77,0.54,1.73,1.31,-0.53,1.55,3.04,0.58,0.93,90,65,94,84,42,87,100,84,71
S. Giménez,Feyenoord,ATACANTE,HOL,-1.55,-2.1,-1.4,-0.33,-0.17,0.3,2.66,0.43,2.16,16,13,19,58,58,71,97,77,87
T. Lauritsen,Sparta Rotterdam,ATACANTE,HOL,-0.14,-0.73,0.72,0.77,3.11,0.08,-0.34,-0.6,-0.24,48,35,77,74,97,61,42,39,45
M. Satriano,Brest,ATACANTE,ITA1,-0.07,0.84,-0.93,-1.27,2.99,-2.14,-1.79,-0.75,-1.56,54,77,21,10,94,8,13,25,17
L. Muriel,Atalanta,ATACANTE,ITA1,3.72,1.16,2.65,2.69,-0.76,3.42,-1.89,2.31,-2.03,100,79,100,96,37,94,10,98,10
N. Krstović,Lecce,ATACANTE,ITA1,-1.06,-0.95,-0.84,-0.66,1.11,-2.03,0.4,-0.61,1.09,27,35,27,33,81,12,60,35,71
R. Piccoli,Lecce,ATACANTE,ITA1,-1.17,0.71,-1.23,0.42,-0.08,-2.63,1.5,-0.42,1.58,23,75,17,69,58,2,85,40,85
Arthur Cabral,Benfica,ATACANTE,ITA1,-1.19,-0.35,-1.18,-0.65,0.45,-2.06,1.11,-0.74,1.11,21,50,19,35,71,10,77,29,73
F. Tsadjout,Cremonese,ATACANTE,ITA1,1.27,2.8,0.89,0.25,0.57,-1.83,0.0,-0.75,-1.35,83,94,77,67,73,19,54,27,25
A. Ceesay,Dhamk,ATACANTE,ITA1,-0.31,0.05,-0.37,0.05,-0.28,-2.24,0.88,-0.66,1.17,46,56,42,60,52,6,73,33,75
F. Bonazzoli,Hellas Verona,ATACANTE,ITA1,0.39,-0.75,1.5,0.01,-0.18,-1.97,-1.71,-1.55,-1.47,67,40,87,54,56,13,17,4,21
Zito Luvumbo,Cagliari,ATACANTE,ITA1,-0.52,-0.83,-1.38,1.98,-2.19,-0.52,-0.84,2.24,-2.08,38,37,12,92,6,46,31,96,8
M. Kean,Juventus,ATACANTE,ITA1,-1.69,-1.78,-1.43,-0.58,-0.5,-1.89,-1.04,1.04,0.42,10,15,10,37,46,17,27,79,62
M. Thuram,Internazionale,ATACANTE,ITA1,0.06,-0.83,0.34,1.2,0.36,3.16,1.08,0.57,1.96,60,38,65,87,67,92,75,75,88
A. Gudmundsson,Genoa,ATACANTE,ITA1,0.45,2.42,-0.51,0.57,-2.14,-0.66,2.16,1.35,1.66,69,88,40,71,8,37,94,90,87
S. Lammers,Rangers,ATACANTE,ITA1,-0.22,1.62,-0.52,-1.07,3.4,-0.52,-1.23,-0.66,-0.66,48,85,38,15,98,44,23,31,42
D. Okereke,Cremonese,ATACANTE,ITA1,-0.86,-0.33,-0.91,0.03,-1.25,-2.36,0.0,0.01,0.35,31,52,23,56,21,4,52,62,56
Á. Di María,Benfica,ATACANTE,ITA1,1.43,-1.47,1.0,1.65,-2.68,3.44,-1.24,1.19,-0.85,85,23,79,90,2,96,21,87,40
T. Abraham,Roma,ATACANTE,ITA1,0.22,-0.44,0.48,0.59,2.08,0.76,1.47,-0.25,0.42,63,46,69,73,92,77,83,48,63
L. Jović,Milan,ATACANTE,ITA1,-2.13,-1.32,-2.0,-3.22,1.63,0.54,0.21,-0.9,0.13,6,27,4,2,87,69,58,19,54
E. Shomurodov,Cagliari,ATACANTE,ITA1,-0.36,-0.59,-0.84,-0.81,-0.65,0.17,-2.1,-0.25,-1.76,44,44,29,21,40,62,8,46,13
A. Milik,Juventus,ATACANTE,ITA1,-0.08,-0.96,0.6,-0.35,0.21,-0.19,0.7,-0.79,1.27,52,33,73,42,65,54,67,23,77
C. Kouamé,Fiorentina,ATACANTE,ITA1,1.76,3.03,2.41,2.08,1.8,0.93,-0.66,-0.4,-1.41,90,96,96,94,90,83,37,42,23
G. Raspadori,Napoli,ATACANTE,ITA1,1.56,0.49,1.15,-1.9,-1.25,1.14,-1.28,-0.14,-0.97,88,65,83,6,19,85,19,54,31
M. Barrow,Al Taawon,ATACANTE,ITA1,1.51,-0.39,1.42,0.96,-1.59,3.06,-3.04,0.52,-2.93,87,48,85,81,13,90,2,73,2
C. De Ketelaere,Atalanta,ATACANTE,ITA1,3.11,5.19,1.55,0.08,3.38,0.83,-2.25,1.06,-2.13,98,100,92,62,96,81,4,83,6
G. Defrel,Sassuolo,ATACANTE,ITA1,-1.67,-0.21,-2.08,-3.11,-1.6,-1.78,1.25,-0.97,0.98,12,54,2,4,12,21,79,15,69
A. Belotti,Roma,ATACANTE,ITA1,-0.04,0.66,-0.18,0.19,1.06,0.72,-0.27,-0.04,-1.83,56,69,52,65,79,73,46,60,12
F. Thauvin,Udinese,ATACANTE,ITA1,1.09,0.69,0.14,0.11,1.53,0.21,-1.85,1.55,-1.61,77,73,60,63,85,63,12,92,15
R. Højlund,Manchester United,ATACANTE,ITA1,-0.45,-1.49,-0.71,-0.5,-1.14,-0.54,2.13,0.32,0.59,42,21,35,40,25,42,92,71,65
K. Piątek,İstanbul Başakşehir,ATACANTE,ITA1,0.03,1.19,0.21,0.83,0.21,-0.34,-1.77,-1.17,-0.6,58,81,62,77,63,52,15,8,48
Beto,Everton,ATACANTE,ITA1,-1.54,0.37,-1.34,-0.86,-0.3,-0.42,-0.53,0.26,-0.14,13,62,15,19,50,48,42,65,50
A. Petagna,Cagliari,ATACANTE,ITA1,-0.91,-1.82,0.56,0.94,0.13,2.61,-0.72,-0.13,-0.61,29,13,71,79,62,88,35,56,46
A. Lookman,Atalanta,ATACANTE,ITA1,2.58,2.4,1.53,-0.22,-0.7,4.15,1.41,1.63,0.02,94,87,90,48,38,100,81,94,52
I. Success,Udinese,ATACANTE,ITA1,0.38,-1.54,0.03,-0.56,-0.76,0.69,-2.14,1.05,-1.53,65,19,54,38,35,71,6,81,19
M. Gabbiadini,Al Nasr,ATACANTE,ITA1,-0.61,0.43,-0.75,-0.8,-1.06,0.42,-0.11,-0.92,0.72,35,63,33,25,27,67,48,17,67
J. Zirkzee,Bologna,ATACANTE,ITA1,0.2,0.63,0.45,-0.21,-0.63,-0.13,-0.37,0.29,-0.96,62,67,67,50,42,56,44,69,33
F. Chiesa,Juventus,ATACANTE,ITA1,1.1,1.55,0.09,2.78,-2.27,2.32,-0.74,2.36,-2.39,79,83,56,98,4,87,33,100,4
D. Zapata,Torino,ATACANTE,ITA1,0.87,-0.62,1.08,0.81,0.87,-0.01,-1.07,1.28,-1.34,75,42,81,75,77,58,25,88,27
L. Colombo,Monza,ATACANTE,ITA1,-0.17,2.49,-0.76,-0.09,-1.17,-1.07,-0.85,0.1,-1.02,50,90,31,52,23,27,29,63,29
D. Vlahović,Juventus,ATACANTE,ITA1,-2.23,-3.42,-1.6,-1.11,-0.95,-1.12,0.63,-1.02,2.03,4,2,8,13,29,25,63,13,90
P. Dybala,Roma,ATACANTE,ITA1,2.65,0.68,2.0,1.07,-1.82,3.83,0.73,1.1,2.56,96,71,94,83,10,98,69,85,92
M. Djurić,Hellas Verona,ATACANTE,ITA1,1.81,-2.43,2.62,1.18,5.89,-0.68,0.18,-1.64,-0.9,92,6,98,85,100,35,56,2,37
Dany Mota,Monza,ATACANTE,ITA1,0.78,0.12,1.5,3.26,-0.21,-0.8,-0.56,0.64,-0.65,73,60,88,100,54,31,40,77,44
A. Pinamonti,Sassuolo,ATACANTE,ITA1,-1.42,-1.37,-0.9,-0.81,0.58,-1.93,-0.64,-0.58,-0.85,15,25,25,23,75,15,38,37,38
E. Gyasi,Empoli,ATACANTE,ITA1,1.1,4.41,-0.28,-1.44,-1.36,-1.34,-0.01,-1.13,-0.95,81,98,50,8,17,23,50,12,35
O. Giroud,Milan,ATACANTE,ITA1,-1.31,-1.16,-0.35,-0.67,1.7,0.75,2.54,-1.45,2.56,17,29,46,31,88,75,100,6,94
M'Bala Nzola,Fiorentina,ATACANTE,ITA1,-0.82,-1.12,-0.58,-0.79,-0.61,0.39,0.7,-0.3,0.35,33,31,37,27,44,65,65,44,58
C. Immobile,Lazio,ATACANTE,ITA1,-0.58,-1.76,0.14,-0.97,-0.85,-0.72,0.88,-0.47,1.36,37,17,58,17,31,33,71,38,79
B. Dia,Salernitana,ATACANTE,ITA1,-1.23,0.05,-1.35,-0.25,-1.42,-0.41,2.4,0.27,3.21,19,58,13,46,15,50,96,67,100
A. Sanabria,Torino,ATACANTE,ITA1,-0.48,-1.95,0.33,-0.73,0.42,-0.85,1.61,-0.85,1.56,40,10,63,29,69,29,87,21,83
R. Lukaku,Roma,ATACANTE,ITA1,-1.16,-2.08,-0.34,0.04,-0.46,0.8,1.76,-0.18,1.46,25,8,48,58,48,79,88,50,81
V. Osimhen,Napoli,ATACANTE,ITA1,-1.74,-1.86,-0.36,1.22,1.3,-0.57,1.99,-0.12,2.84,8,12,44,88,83,40,90,58,98
L. Martínez,Internazionale,ATACANTE,ITA1,0.67,2.78,0.8,-0.27,-0.01,0.05,2.44,-0.15,2.78,71,92,75,44,60,60,98,52,96
F. Caputo,Empoli,ATACANTE,ITA1,-2.69,-2.96,-1.73,-1.12,-0.8,-0.63,0.53,-1.14,0.39,2,4,6,12,33,38,62,10,60
A. Suzuki,Shonan Bellmare,ATACANTE,JAP,0.86,4.21,-0.1,-0.93,0.8,-1.4,-0.05,0.03,-0.09,68,97,45,24,74,18,47,53,55
K. Taniguchi,Albirex Niigata,ATACANTE,JAP,0.58,-0.88,1.7,3.14,-0.51,-0.41,-1.55,-0.7,-0.92,63,39,95,97,42,47,13,26,29
P. Sotiriou,Sanfrecce Hiroshima,ATACANTE,JAP,-0.69,-0.18,-0.87,-2.27,0.67,-0.6,-0.18,-1.48,-0.5,32,71,29,5,71,42,39,8,39
C. Togashi,Sagan Tosu,ATACANTE,JAP,-2.21,-0.35,-1.84,0.23,0.27,-0.15,1.83,-0.87,2.58,3,63,5,58,63,58,92,24,89
S. Yamada,Kawasaki Frontale,ATACANTE,JAP,0.03,2.03,-1.12,-0.6,-1.7,-1.17,-0.6,-0.42,-0.06,55,89,18,34,13,24,29,37,58
K. Chinen,Kashima Antlers,ATACANTE,JAP,2.69,6.29,2.19,1.62,2.32,-2.71,0.47,1.24,0.26,100,100,97,89,95,3,68,89,66
Marcelo Ryan,Yokohama,ATACANTE,JAP,-1.82,-1.35,-1.59,0.87,-1.21,-0.63,-1.92,-0.56,-1.04,13,13,11,82,18,39,11,34,24
S. Ito,Yokohama,ATACANTE,JAP,-1.39,-1.85,-1.37,-3.07,1.32,-1.08,-0.55,-1.96,-0.2,16,5,16,3,84,29,32,3,50
K. Ogawa,Yokohama,ATACANTE,JAP,-1.98,-0.84,-1.46,-0.66,-0.29,-1.84,1.0,-0.93,3.28,8,45,13,32,47,11,79,18,97
N. Ben Khalifa,Sanfrecce Hiroshima,ATACANTE,JAP,2.56,1.35,2.4,0.25,0.0,0.11,-2.15,-0.21,-3.25,97,79,100,61,53,61,8,42,5
S. Uejo,Cerezo Osaka,ATACANTE,JAP,-0.1,1.96,0.14,-0.49,-0.31,-0.68,-0.38,0.79,-1.92,45,87,53,39,45,37,34,82,13
S. Sarachat,Consadole Sapporo,ATACANTE,JAP,1.39,-0.89,1.12,1.23,-2.08,2.23,0.14,0.05,-1.1,92,37,89,87,5,89,55,55,21
R. Yamasaki,Kyoto Sanga,ATACANTE,JAP,0.26,-0.82,0.48,-1.45,2.11,-1.1,-0.72,-1.4,-1.11,58,47,63,16,92,26,26,11,18
J. Kanté,Urawa Reds,ATACANTE,JAP,1.0,1.5,0.88,0.27,-0.55,-1.5,0.18,0.78,1.15,79,82,82,63,39,16,58,79,82
Douglas Vieira,Sanfrecce Hiroshima,ATACANTE,JAP,-0.12,-1.82,0.8,-0.96,0.6,2.67,0.87,-0.23,0.56,42,8,79,21,68,95,76,39,71
Patric,Kyoto Sanga,ATACANTE,JAP,-0.63,-1.03,0.7,0.49,3.35,-0.72,2.71,-0.91,2.59,34,32,74,66,100,34,100,21,92
Y. Kakita,Kashima Antlers,ATACANTE,JAP,-1.32,-0.68,-0.96,-0.18,2.71,-2.34,0.54,-0.09,-1.03,18,55,24,47,97,8,71,47,26
S. Koroki,Urawa Reds,ATACANTE,JAP,-0.92,-0.87,-0.39,0.08,-1.13,-2.48,-0.11,-0.64,-0.45,29,42,39,55,24,5,42,32,42
K. Yamada,Kashiwa Reysol,ATACANTE,JAP,1.0,4.06,-0.76,-1.63,-1.07,0.36,-3.69,1.05,-3.47,82,95,32,13,26,66,3,87,3
H. Abe,Shonan Bellmare,ATACANTE,JAP,1.65,-0.09,0.27,-1.26,-3.08,2.1,-2.84,-1.54,-2.23,95,74,55,18,3,87,5,5,8
T. Ogashiwa,Consadole Sapporo,ATACANTE,JAP,1.16,-0.75,1.0,3.31,-1.8,2.58,-0.32,1.94,-0.53,87,50,87,100,11,92,37,95,37
S. Machino,Holstein Kiel,ATACANTE,JAP,0.3,-1.23,0.75,1.62,-1.05,3.03,0.28,0.28,1.13,61,24,76,92,29,97,63,68,79
Y. Ono,Sagan Tosu,ATACANTE,JAP,1.01,1.81,0.01,-0.22,0.12,-0.38,1.02,-0.18,-0.04,84,84,47,42,55,53,82,45,61
T. Miyashiro,Kawasaki Frontale,ATACANTE,JAP,0.95,-0.72,0.59,0.07,-0.57,-0.3,0.02,0.01,-0.33,74,53,68,53,37,55,53,50,45
Y. Ohashi,Shonan Bellmare,ATACANTE,JAP,0.92,1.11,0.64,0.58,-0.21,0.33,1.73,0.21,1.29,71,76,71,71,50,63,89,63,84
K. Suzuki,Albirex Niigata,ATACANTE,JAP,-0.31,-1.29,0.06,-2.15,-1.18,-1.19,-0.07,-1.2,0.05,39,21,50,8,21,21,45,13,63
M. Kato,Sanfrecce Hiroshima,ATACANTE,JAP,1.17,2.39,0.3,0.58,0.88,1.35,-1.2,0.65,-2.05,89,92,58,74,79,79,18,76,11
Lukian,Avispa Fukuoka,ATACANTE,JAP,-0.98,-0.3,-1.08,0.87,0.37,0.82,-0.9,1.35,-1.12,24,66,21,79,66,71,21,92,16
I. Jebali,Gamba Osaka,ATACANTE,JAP,-0.02,-0.65,-0.54,-0.68,-0.66,1.67,-1.37,0.62,-0.82,53,58,34,29,34,82,16,74,32
Diego Oliveira,Tokyo,ATACANTE,JAP,-0.54,-1.09,-0.53,-1.97,0.2,-0.43,1.16,2.15,0.89,37,29,37,11,61,45,84,100,76
K. Junker,Nagoya Grampus,ATACANTE,JAP,-2.0,-2.17,-1.94,1.0,-2.07,-0.41,1.65,0.39,2.74,5,3,3,84,8,50,87,71,95
Léo Ceará,Cerezo Osaka,ATACANTE,JAP,-0.97,-1.22,-0.25,0.58,1.89,-1.07,-0.78,1.01,-0.27,26,26,42,68,87,32,24,84,47
Y. Asano,Consadole Sapporo,ATACANTE,JAP,-0.07,-1.32,0.53,2.43,-1.01,1.05,-0.04,2.05,-0.75,47,18,66,95,32,76,50,97,34
M. Hosoya,Kashiwa Reysol,ATACANTE,JAP,-1.88,-0.2,-1.83,-0.51,-1.47,-1.79,0.73,-0.66,0.3,11,68,8,37,16,13,74,29,68
Y. Suzuki,Kashima Antlers,ATACANTE,JAP,-0.05,-1.49,0.33,0.04,2.07,1.69,0.46,0.14,0.88,50,11,61,50,89,84,66,58,74
Anderson Lopes,Yokohama F. Marinos,ATACANTE,JAP,-1.13,-1.34,-0.89,-0.19,0.13,0.39,2.49,0.18,3.93,21,16,26,45,58,68,97,61,100
Y. Ōsako,Vissel Kobe,ATACANTE,JAP,0.98,-0.94,1.66,0.74,0.85,3.12,1.93,0.23,1.83,76,34,92,76,76,100,95,66,87
Y. Yamagishi,Avispa Fukuoka,ATACANTE,JAP,0.63,-0.37,0.94,-0.74,1.29,0.88,0.2,-1.15,-0.18,66,61,84,26,82,74,61,16,53
T. Molina,Juárez,ATACANTE,MEX,0.26,0.15,0.21,1.59,1.65,-2.1,0.61,0.83,0.17,71,59,67,84,88,8,71,84,63
C. Tabó,Pumas UNAM,ATACANTE,MEX,0.74,0.41,-0.24,-0.71,-1.63,-1.35,-3.73,0.07,-3.07,78,63,45,31,20,29,2,57,2
D. Cambindo,Cruz Azul,ATACANTE,MEX,-0.36,-0.5,-1.03,0.14,-1.33,-0.11,-0.31,0.38,-0.58,49,49,18,57,24,57,49,69,43
E. Ayón,Querétaro,ATACANTE,MEX,-0.47,1.71,-1.16,0.46,0.62,-2.08,-1.54,0.01,-2.71,41,80,12,69,63,10,10,55,4
L. Fernández,Fluminense,ATACANTE,MEX,4.22,0.68,2.21,2.11,-3.25,2.85,-0.98,0.98,2.48,100,71,94,92,4,90,20,90,94
Camilo Sanvezzo,Querétaro,ATACANTE,MEX,-0.57,-1.07,-1.44,-2.13,-0.49,2.22,-0.61,0.53,-0.31,33,24,6,6,45,86,37,76,53
L. Amarilla,Mazatlán,ATACANTE,MEX,-0.13,2.62,-0.12,0.35,-1.66,-0.44,1.36,-0.05,-1.21,57,96,53,65,14,51,84,51,18
I. Hernández,Pachuca,ATACANTE,MEX,-0.43,1.96,0.09,0.35,0.09,-2.21,-0.86,-0.83,-0.26,43,86,61,67,55,4,27,27,55
M. Sansores,Puebla,ATACANTE,MEX,-0.14,0.52,-0.26,-0.26,-1.39,1.63,0.03,-1.49,-0.69,55,67,43,47,22,84,53,2,37
B. Rubio,León,ATACANTE,MEX,2.04,2.52,1.38,2.16,0.69,-0.53,1.62,-0.4,-0.71,90,94,88,96,65,47,88,41,33
Á. Zaldívar,Atlético de San Luis,ATACANTE,MEX,0.9,3.19,-1.2,-2.43,-2.16,-1.83,0.21,-1.0,2.38,80,98,10,2,8,16,63,18,90
L. Cavallini,Club Tijuana,ATACANTE,MEX,0.39,-0.7,0.33,0.61,-0.72,0.64,-1.54,-0.01,-1.75,73,39,69,73,33,73,12,53,10
J. Caicedo,Atlas,ATACANTE,MEX,-1.29,-1.53,-0.48,-0.03,0.56,-1.58,0.04,0.33,0.73,16,16,33,51,61,22,55,65,71
Aitor García,Juárez,ATACANTE,MEX,0.13,0.34,0.92,2.81,-1.03,-2.45,-0.73,0.38,-1.08,67,61,82,98,29,2,33,71,24
R. Marín,Guadalajara,ATACANTE,MEX,-0.64,1.77,-0.9,-1.85,3.55,-0.4,-0.44,-1.13,-1.95,31,82,22,8,100,53,45,10,8
R. Monreal,Necaxa,ATACANTE,MEX,1.51,2.4,0.17,-1.17,2.71,3.98,-0.56,0.82,-2.07,84,90,65,22,94,96,43,82,6
A. Loba,Mazatlán,ATACANTE,MEX,-1.86,-1.98,-1.15,-0.57,-0.02,-0.79,3.08,-0.28,2.66,4,10,14,35,51,39,98,43,96
R. Aguirre,Monterrey,ATACANTE,MEX,-0.08,-1.16,0.11,1.61,0.83,-0.51,-1.69,0.9,-0.56,61,22,63,86,69,49,8,86,45
N. López,León,ATACANTE,MEX,1.78,-0.21,-0.08,0.02,-3.42,2.31,-1.3,1.68,-0.73,86,55,59,55,2,88,16,96,29
F. Viñas,León,ATACANTE,MEX,-0.84,0.72,-0.33,-0.46,1.07,0.08,0.18,0.78,0.99,27,73,41,41,76,59,57,80,78
J. Correa,Santos Laguna,ATACANTE,MEX,-0.36,-0.69,-0.55,-0.45,-0.63,0.53,-0.91,1.03,-0.11,47,41,29,43,39,71,24,92,61
N. Benedetti,Mazatlán,ATACANTE,MEX,2.4,-0.08,1.4,1.61,-1.75,4.13,-0.06,3.84,0.38,96,57,90,88,12,98,51,100,65
R. Cisneros,Guadalajara,ATACANTE,MEX,-2.95,-3.31,-2.41,-1.28,-2.15,-1.61,0.25,-1.01,-1.13,2,2,2,18,10,20,65,16,20
J. Furch,Santos,ATACANTE,MEX,-0.49,-0.64,0.59,-0.56,1.59,-0.97,-0.75,-1.2,-0.49,39,43,78,37,86,33,31,8,49
J. Alvarado,León,ATACANTE,MEX,-0.08,2.46,-0.2,-0.3,2.61,-0.34,-1.19,-0.62,-1.47,59,92,49,45,92,55,18,31,16
A. Canelo,Independiente,ATACANTE,MEX,2.03,1.7,2.26,3.37,0.96,-0.74,-0.83,1.34,-0.6,88,78,98,100,73,41,29,94,41
A. Sepúlveda,Cruz Azul,ATACANTE,MEX,-0.18,-0.79,0.98,1.43,0.92,-0.8,1.87,-1.12,0.6,53,31,84,82,71,37,92,12,69
G. del Prete,Pumas UNAM,ATACANTE,MEX,2.2,2.13,1.21,0.57,-1.63,0.21,-0.56,0.77,-0.72,92,88,86,71,18,61,41,78,31
F. Batista,Necaxa,ATACANTE,MEX,-1.6,1.8,-1.94,-1.31,-0.59,-1.47,0.52,-0.9,0.88,10,84,4,16,41,27,69,22,73
J. Zúñiga,Querétaro,ATACANTE,MEX,-0.76,-1.22,-0.15,0.94,1.19,-1.09,0.18,-0.05,-0.21,29,20,51,80,80,31,59,49,57
N. Ibáñez,Tigres UANL,ATACANTE,MEX,-0.99,-0.45,-0.61,-0.54,1.1,-0.91,1.16,-1.27,0.88,24,51,27,39,78,35,82,6,76
R. de la Rosa,Pachuca,ATACANTE,MEX,-1.44,-2.07,-1.13,-0.68,-2.2,0.78,-1.78,-0.52,-0.18,14,8,16,33,6,76,6,37,59
E. López,Toluca,ATACANTE,MEX,-1.13,-1.93,-0.08,0.21,-0.9,0.88,1.77,-1.34,-1.64,18,12,57,59,31,80,90,4,12
Edgar Méndez,Necaxa,ATACANTE,MEX,0.42,-0.38,-0.21,-1.06,1.28,-1.99,-0.58,0.08,-1.11,76,53,47,24,82,14,39,59,22
L. Di Yorio,Pachuca,ATACANTE,MEX,-0.37,0.58,-0.44,0.79,-0.31,-2.03,-1.33,-0.09,-0.66,45,69,35,76,47,12,14,47,39
M. Barragán,Puebla,ATACANTE,MEX,-1.09,-0.52,-0.42,-1.01,-0.71,-2.15,-1.87,-0.86,-0.69,22,47,37,27,35,6,4,24,35
A. Hurtado,Juárez,ATACANTE,MEX,3.09,3.24,2.23,2.13,-1.64,2.89,-0.36,1.97,-0.54,98,100,96,94,16,92,47,98,47
G. Martínez,Puebla,ATACANTE,MEX,-0.21,-0.98,0.44,-1.78,3.12,-0.67,1.4,-0.8,1.9,51,27,76,12,98,45,86,29,84
G. Berterame,Monterrey,ATACANTE,MEX,0.15,1.51,0.35,0.33,0.78,0.48,-0.69,0.46,-0.47,69,76,71,63,67,67,35,73,51
J. Dinenno,Pumas UNAM,ATACANTE,MEX,-1.1,-1.85,-0.4,-0.89,1.29,-1.81,0.65,-0.56,2.4,20,14,39,29,84,18,73,35,92
Léo Bonatini,Atlético de San Luis,ATACANTE,MEX,-1.75,-0.7,-1.31,-1.18,-1.32,-1.5,0.21,-0.27,0.49,6,37,8,20,27,24,61,45,67
R. Funes Mori,Monterrey,ATACANTE,MEX,-1.69,-2.85,-0.93,-2.17,0.18,0.45,2.54,-0.94,2.96,8,6,20,4,57,65,96,20,100
G. Fernández,Pumas UNAM,ATACANTE,MEX,-0.04,-0.76,0.42,0.23,2.79,0.26,-0.94,0.96,-1.53,63,35,73,61,96,63,22,88,14
H. Martín,América,ATACANTE,MEX,-0.5,-1.31,-0.78,-1.49,0.32,3.62,3.15,-0.57,2.73,37,18,24,14,59,94,100,33,98
D. Valdés,América,ATACANTE,MEX,2.36,0.5,2.78,0.81,0.01,4.36,0.84,0.18,-0.78,94,65,100,78,53,100,76,63,27
C. González,Club Tijuana,ATACANTE,MEX,0.09,-0.53,0.84,-0.14,2.29,-0.74,1.97,-1.04,1.49,65,45,80,49,90,43,94,14,80
A. Gignac,Tigres UANL,ATACANTE,MEX,-1.56,-3.1,-0.11,-0.02,-0.65,0.5,0.42,-0.51,2.1,12,4,55,53,37,69,67,39,86
H. Preciado,Santos Laguna,ATACANTE,MEX,-0.52,-0.8,-0.5,-1.84,-0.08,0.8,1.06,0.37,1.62,35,29,31,10,49,78,80,67,82
J. Quiñones,América,ATACANTE,MEX,0.91,-0.78,1.64,1.7,-0.5,1.6,1.02,0.14,2.15,82,33,92,90,43,82,78,61,88
C. Báez,General Caballero JLM,ATACANTE,PAR,-1.75,-0.38,-2.0,-1.58,1.26,-0.42,-0.65,0.26,-0.86,10,45,2,7,74,48,33,76,29
Á. González,Resistencia,ATACANTE,PAR,-2.56,-2.3,-1.32,-1.03,1.64,-0.23,0.52,-1.44,-2.37,2,10,14,19,79,57,67,2,7
N. Viera,Tacuary,ATACANTE,PAR,0.45,-1.15,-0.22,-1.16,-0.83,-0.47,1.52,0.51,0.68,74,26,48,14,43,45,86,81,69
F. Fernández,Cerro Porteño,ATACANTE,PAR,-0.33,-1.54,-0.73,-2.04,-0.18,1.07,0.02,-1.16,0.31,38,17,33,2,45,71,50,10,60
M. Almeida,Tacuary,ATACANTE,PAR,0.58,1.96,-1.93,-0.88,-2.48,-1.34,-2.75,0.16,-2.1,76,95,5,24,5,24,7,67,10
Valdeci,Tacuary,ATACANTE,PAR,2.97,5.05,0.59,-0.06,-2.34,-0.48,-3.12,3.64,-2.53,98,100,71,62,7,43,5,100,5
R. Morales,Toluca,ATACANTE,PAR,-0.57,0.84,-0.63,-0.07,-1.48,-1.2,1.92,0.1,2.63,33,69,43,60,31,29,88,64,98
B. Samudio,Necaxa,ATACANTE,PAR,3.07,0.85,3.92,2.9,1.01,2.77,1.97,-0.25,0.7,100,71,100,98,69,98,90,50,71
K. Parzajuk,Guaireña,ATACANTE,PAR,0.14,2.73,-1.14,-0.57,0.56,-2.67,0.91,1.02,1.65,60,98,19,40,62,2,81,86,88
D. Fleitas,Nacional Asunción,ATACANTE,PAR,-0.02,0.29,-0.14,0.71,-1.24,-0.59,-1.42,0.42,-0.91,48,60,52,76,33,38,14,79,26
B. Montenegro,Olimpia,ATACANTE,PAR,-1.6,-1.99,1.33,1.37,1.97,-0.4,2.92,-0.82,1.71,12,14,83,86,88,52,98,19,90
E. Borja,Guaireña,ATACANTE,PAR,0.42,-0.27,-0.46,-0.1,-1.6,1.26,-1.04,1.64,-0.69,71,50,45,57,21,79,26,93,36
C. Ocampos,Central Córdoba SdE,ATACANTE,PAR,-0.33,-0.43,0.45,0.55,1.74,1.3,1.38,-0.4,1.35,40,40,67,74,81,81,83,38,81
R. Ruiz Díaz,Resistencia,ATACANTE,PAR,-1.13,0.91,-1.14,-0.55,-1.49,-1.84,0.61,-0.95,0.2,21,74,21,43,29,12,71,14,57
D. González,Olimpia,ATACANTE,PAR,0.66,-2.36,-0.14,1.64,-2.88,2.35,0.32,1.8,0.88,79,5,55,90,2,93,60,95,74
J. Ortega,Tacuary,ATACANTE,PAR,-1.29,-0.74,-1.52,-1.3,-2.0,-1.41,0.2,-1.37,-0.03,17,29,7,12,10,19,52,5,55
R. Santa Cruz,Libertad,ATACANTE,PAR,0.24,-0.39,1.69,-0.17,1.97,0.56,-0.33,-0.9,-1.01,64,43,93,52,86,64,40,17,21
R. Arévalo,Sportivo Trinidense,ATACANTE,PAR,1.13,1.62,1.0,0.33,0.71,1.16,-3.77,-0.27,-3.56,86,86,76,71,64,76,2,48,2
